Produto Buscado,Produto Encontrado (Semar),Produto Encontrado (Rossi),Produto Encontrado (Shibata),Preço (Semar),Status (Semar),Preço (Rossi),Status (Rossi),Preço (Shibata),Status (Shibata)
Alface Americana,Alface Americana Benverde 1 Unidade,Alface Americana Band Un,Alface Americana - 1 Unidade,4.89,Ok,7.49,Ok,5.99,Ok
Alface Crespa,Alface Crespa Benverde 1 Unidade,Alface Crespa Un,Alface Crespa - 1 Unidade,3.99,Ok,,Indisponível,4.49,Ok
Alface Crespa Hidropônica,Alface Crespa Benverde Hidropônica 1 Unidade,,Alface Crespa Hidropônica Mizuguchi - 1 Unidade,3.99,Ok,,Não Encontrado,,Indisponível
Alface Crespa Roxo,,,,,Não Encontrado,,Não Encontrado,,Não Encontrado
Alface Lisa,,Alface Lisa,Alface Lisa - 1 Unidade,,Não Encontrado,,Indisponível,4.49,Ok
Alface Lisa Hidropônica,Alface Lisa Benverde Hidroponica Un,Alface Lisa Hidropônica,Alface Lisa Hidropônica - 1 Unidade,,Indisponível,5.49,Ok,,Indisponível
Alface Lisa Higienizado,,,,,Não Encontrado,,Não Encontrado,,Não Encontrado
Alface Mimosa Hidropônica,Alface Mimosa Benverde Hidroponica Un,,Alface Mimosa Hidropônica Mizuguchi - 1 Unidade,,Indisponível,,Não Encontrado,,Indisponível
Brocolis,Brocolis Ninja Benverde 280G,Brócolis Comum,Brócolis Ninja - 1 Unidade,,Indisponível,,Indisponível,,Indisponível
Couve,Couve Flor Benverde 280G,Couve Manteiga,Couve Manteiga - 1 Unidade,9.99,Ok,3.99,Ok,3.99,Ok
Couve Flor,,Couve Flor Un Hortella,,,Não Encontrado,,Indisponível,,Não Encontrado
Couve Higienizado,Couve Manteiga Higienizado Benverde 200G,,,6.99,Ok,,Não Encontrado,,Não Encontrado
Repolho Roxa,,,,,Não Encontrado,,Não Encontrado,,Não Encontrado
Repolho Verde,,Repolho Verde Kg,,,Não Encontrado,4.59,Ok,,Não Encontrado
Abobrinha Italiana,Abobrinha Italiana Benverde Bdj 600G ,,Abobrinha Italiana - 1 Unidade,,Indisponível,,Não Encontrado,2.40,Ok
Batata Doce Rosada,Batata Doce Rosada 800G (Aproximadamente 2 Unidades),Batata Doce Rosada 500G,Batata Doce Rosada - 900G (Aprox. 1 Unidade),4.78,Ok,3.49,Ok,4.49,Ok
Batata Lavada,Batata Lavada 500G (Aproximadamente 2 Unidades),Batata Lavada 500G,Batata Lavada - 1 Unidade,2.50,Ok,1.99,Ok,1.00,Ok
Beringela,,,,,Não Encontrado,,Não Encontrado,,Não Encontrado
Beterraba,Beterraba Benverde Bdj 500G,Beterraba 700G,Beterraba - 1 Unidade,,Indisponível,4.54,Ok,1.50,Ok
Cebola,,Cebola 1Kg,Cebola - 1 Unidade,,Não Encontrado,2.98,Ok,0.37,Ok
Cenoura,Cenoura 500G (Aproximadamente 3 Unidades),Cenoura 500G,Cenoura - 1 Unidade,2.50,Ok,2.29,Ok,1.00,Ok
Chuchu,Chuchu 600G (Aproximadamente 2 Unidades),Chuchu 750G,Chuchu - 1 Unidade,5.99,Ok,5.99,Ok,4.00,Ok
Mandioca,Mandioca 700G,Mandioca 1Kg,Mandioca Takagaki - 900G,2.79,Ok,,Indisponível,6.69,Ok
Pepino Comum,Pepino Comum 600G (Aproximadamente 2 Unidades),Pepino Comum 500G,Pepino Comum - 1 Unidade,3.29,Ok,2.49,Ok,2.20,Ok
Pepino Japones,Pepino Japonês Benverde Bdj 500G,Pepino Japones 500G,Pepino Japonês - 1 Unidade,,Indisponível,3.49,Ok,1.25,Ok
Pimentao Amarelo,Pimentão Amarelo 250G ,Pimentão Amarelo 500G,Pimentão Amarelo - 1 Unidade,5.47,Ok,9.95,Ok,,Indisponível
Pimentao Verde,,Pimentão Verde 500G,,,Não Encontrado,4.95,Ok,,Não Encontrado
Pimentao Vermelho,Pimentão Vermelho 250G,Pimentão Vermelho 500G,Pimentão Vermelho - 1 Unidade,5.72,Ok,9.95,Ok,6.87,Ok
Tomate,Tomate 200G ,Tomate Salada 500G,Tomate Longa Vida - 1 Unidade,1.40,Ok,3.99,Ok,1.40,Ok
Tomate Italiano,,Tomate Italiano 500G,Tomate Italiano - 1 Unidade,,Não Encontrado,3.99,Ok,1.05,Ok
"Banana Nanica,Banana Nanica 1Kg (Aproximadamente 6 Unidades),Banana Nanica 500G,""Banana Nanica - 1,4Kg (Aprox. 6 Unidades)"",6.98,Ok,3.63,Ok,9.79,Ok"
"Banana Prata,,Banana Prata 500G,""Banana Prata - 1,1Kg - Aprox. 8 Unidades"",,Não Encontrado,5.45,Ok,9.89,Ok"
"Banana Terra,""Banana Terra 1,1Kg (Aproximadamente 4 Unidades)"",Banana Da Terra Kg,Banana Da Terra - 750G - Aprox. 2 Unidades,14.07,Ok,14.80,Ok,9.68,Ok"
Goiaba,Goiaba Vermelha 600G ,Goiaba Vermelha 500G,Goiaba Vermelha - 1 Unidade,5.39,Ok,3.49,Ok,1.12,Ok
Laranja Pera,,Laranja Pera 1Kg,Laranja Pera - 1 Unidade,,Não Encontrado,3.99,Ok,1.00,Ok
Limao,Limão 300G (Aproximadamente 3 Unidades),Limão 500G,Limao Tahiti - 1 Unidade,1.49,Ok,1.64,Ok,0.30,Ok
Maça Argentina,Maca Argentina 600G (Aproximadamente 3 Unidades),Maça Argentina Red 600G,,10.74,Ok,11.34,Ok,,Não Encontrado
Maça Fuji,Maca Fuji 500G (Aproximadamente 3 Unidades),,Maçã Fuji - 1 Unidade,8.50,Ok,,Não Encontrado,3.20,Ok
Maça Gala,Maçã Gala Nacional 500G (Aproximadamente 3 Unidades),Maça Gala 1Kg,Maçã Gala - 1 Unidade,7.45,Ok,13.80,Ok,2.20,Ok
Maça Gransmith,,Maça Gransmith 500G,Maça Gransmith - 1 Unidade,,Não Encontrado,9.45,Ok,3.20,Ok
Mamao Papaya,,Mamão Papaya 1Kg,Mamão Papaya - 1 Unidade,,Não Encontrado,8.90,Ok,7.15,Ok
"Mamao Formosa,,""Mamão Formosa 1,8Kg"",Mamão Formosa - 1 Unidade,,Não Encontrado,12.56,Ok,8.99,Ok"
Manga Palmer,Manga Palmer 800G (Aproximadamente 2 Unidades),Manga Palmer 1Kg,Manga Palmer - 1 Unidade,3.98,Ok,4.35,Ok,2.39,Ok
Manga Tommy,,Manga Tommy 1Kg,Manga Tommy - 1 Unidade,,Não Encontrado,5.98,Ok,3.00,Ok
Maracujá Azedo,Maracujá Azedo 600G (Aproximadamente 2 Unidades),Maracujá Azedo 1Kg,Maracujá Azedo - 1 Unidade,9.54,Ok,12.90,Ok,4.50,Ok
"Melao Amarelo,Melão Amarelo 2.5Kg,""Melão Amarelo 2,3Kg"",Melão Amarelo - 1 Unidade,14.98,Ok,13.75,Ok,12.48,Ok"
Pera Willians,Pera Willians 400G (Aproximadamente 2 Unidades),Pera Willians 500G,,6.00,Ok,7.40,Ok,,Não Encontrado
