Produto Buscado,Produto Encontrado (Semar),Produto Encontrado (Rossi),Produto Encontrado (Shibata),Produto Encontrado (Alabarce),Preço (Semar),Status (Semar),Preço (Rossi),Status (Rossi),Preço (Shibata),Status (Shibata),Preço (Alabarce),Status (Alabarce)
Abacate,Abacate 700g (aproximadamente 1 Unidade),Abacate 600g,Abacate - 1 Unidade,ABACATE KG,3.99,OK,3.98,OK,6.99,OK,2.69,OK
Alface Americana,Alface Americana Benverde 1 Unidade,Alface Americana Band Un,Alface Americana Takagaki - 170g,ALFACE AMERICANA MAÇO,4.89,OK,7.49,OK,7.69,OK,5.19,OK
Alface Crespa,Alface Crespa Benverde 1 Unidade,Alface Crespa Un,Alface Crespa - 1 Unidade,ALFACE CRESPA MAÇO,3.99,OK,4.15,OK,3.49,OK,4.29,OK
Alface Crespa Hidropônica,Alface Crespa Benverde Hidropônica 1 Unidade,,Alface Crespa Hidropônica Mizuguchi - 1 Unidade,ALFACE CRESPA HIDROPÔNICA TOMITA MAÇO,3.99,OK,,Não encontrado,4.49,OK,5.35,OK
Alface Crespa Roxo,,,,,,Não encontrado,,Não encontrado,,Não encontrado,,Não encontrado
Alface Lisa,,Alface Lisa,Alface Lisa - 1 Unidade,ALFACE LISA MAÇO,,Não encontrado,5.49,OK,4.49,OK,4.49,OK
Alface Lisa Hidropônica,Alface Lisa Benverde Hidroponica Un,Alface Lisa Hidropônica,Alface Lisa Hidropônica - 1 Unidade,,4.89,OK,5.49,OK,2.79,OK,,Não encontrado
Alface Lisa Higienizado,,,,,,Não encontrado,,Não encontrado,,Não encontrado,,Não encontrado
Alface Mimosa Hidropônica,Alface Mimosa Benverde Hidroponica Un,,Alface Mimosa Hidropônica Kimoto - 1 Unidade,,3.99,OK,,Não encontrado,4.99,OK,,Não encontrado
Brocolis,Brocolis Ninja Benverde 280g,Brócolis Comum,Brocolis Pratigel 300g,BRÓCOLIS NINJA 300G UNIDADE,5.99,OK,9.90,OK,4.99,OK,11.99,OK
Couve,Couve Flor Benverde 280g,Couve Manteiga,Couve Flor - 1 Unidade,COUVE MANTEIGA MAÇO,8.99,OK,3.99,OK,9.90,OK,4.25,OK
Couve Flor,,Couve Flor Un Hortella,Couve Flor - 1 Unidade,COUVE FLOR ORGANICO 350G RIO DE UNA,,Não encontrado,11.80,OK,,OK,12.95,OK
Couve Higienizado,Couve Manteiga Higienizado Benverde 200g,,Couve Flor Higienizado - 300g,,6.99,OK,,Não encontrado,7.79,OK,,Não encontrado
Repolho Roxa,,,,,,Não encontrado,,Não encontrado,,Não encontrado,,Não encontrado
"Repolho Verde,Repolho Verde Benverde Higienizado Fatiado 300g,Repolho Verde Kg,""Repolho Verde - 1 Unidade (aprox. 1,2Kg)"",,6.99,OK,4.59,OK,,OK,,Não encontrado"
Abobrinha Italiana,Abobrinha Italiana Benverde Bdj 600g ,,Abobrinha Italiana - 1 Unidade,ABOBRINHA ITALIANA KG,,OK,,Não encontrado,6.50,OK,11.99,OK
Batata Doce Rosada,Batata Doce Rosada 800g (aproximadamente 2 Unidades),Batata Doce Rosada 500g,Batata Doce Rosada - 900g (aprox. 1 Unidade),BATATA CHIPS BRASIL FRUTT ROSADA DOCE 100G,6.97,OK,6.98,OK,6.99,OK,13.90,OK
Batata Lavada,Batata Lavada 500g (aproximadamente 2 Unidades),Batata Lavada 500g,Batata Lavada - 1 Unidade,BATATA LAVADA KG,3.98,OK,4.48,OK,5.00,OK,3.49,OK
Beringela,,,,,,Não encontrado,,Não encontrado,,Não encontrado,,Não encontrado
Beterraba,Beterraba Benverde Bdj 500g,Beterraba 700g,Beterraba - 1 Unidade,BETERRABA KG,3.99,OK,6.79,OK,6.80,OK,8.39,OK
