Produto Buscado,Produto Encontrado (Semar),Produto Encontrado (Rossi),Produto Encontrado (Shibata),Produto Encontrado (Alabarce),Preço (Semar),Status (Semar),Preço (Rossi),Status (Rossi),Preço (Shibata),Status (Shibata),Preço (Alabarce),Status (Alabarce)
Maça Gala,Maçã Gala Nacional 500g (aproximadamente 3 Unidades),Maça Gala 1kg,Maçã Gala - 1 Unidade,,8.98,OK,8.49,OK,11.00,OK,,Não encontrado
Maça Gransmith,,Maça Gransmith 500g,Maça Gransmith - 1 Unidade,,,Não encontrado,18.90,OK,16.00,OK,,Não encontrado
Mamao Papaya,,Mamão Papaya 1kg,Mamão Papaya - 1 Unidade,,,Não encontrado,9.90,OK,11.98,OK,,Não encontrado
Mamao Formosa,,"Mamão Formosa 1,8kg",Mamão Formosa - 1 Unidade,,,Não encontrado,4.48,OK,5.99,OK,,Não encontrado
Manga Palmer,Manga Palmer 800g (aproximadamente 2 Unidades),Manga Palmer 1kg,Manga Palmer - 1 Unidade,,3.39,OK,2.98,OK,3.98,OK,,Não encontrado
Manga Tommy,,Manga Tommy 1kg,Manga Tommy - 1 Unidade,,,Não encontrado,5.89,OK,6.00,OK,,Não encontrado
Maracujá Azedo,Maracujá Azedo 600g (aproximadamente 2 Unidades),Maracujá Azedo 1kg,Maracujá Azedo - 1 Unidade,,12.90,OK,13.90,OK,15.00,OK,,Não encontrado
Melao Amarelo,Melão Amarelo 2.5kg,"Melão Amarelo 2,3kg",Melão Amarelo - 1 Unidade,,4.99,OK,3.85,OK,4.99,OK,,Não encontrado
Pera Willians,Pera Willians 400g (aproximadamente 2 Unidades),Pera Willians 500g,,,11.00,OK,8.98,OK,,Não encontrado,,Não encontrado
,,,,,,,,,,,,
Busca gerada em: 26/02/2026,,,,,,,,,,,,
