Produto Buscado,Produto Encontrado (Semar),Produto Encontrado (Rossi),Produto Encontrado (Shibata),Produto Encontrado (Alabarce),Preço (Semar),Status (Semar),Preço (Rossi),Status (Rossi),Preço (Shibata),Status (Shibata),Preço (Alabarce),Status (Alabarce)
Alface Americana,Alface Americana Benverde 1 Unidade,Alface Americana Band Un,Alface Americana Inatura Qualliverd - 300g,ALFACE AMERICANA MAÇO,4.89,OK,7.49,OK,6.99,OK,5.19,OK
Alface Crespa,Alface Crespa Benverde 1 Unidade,Alface Crespa Un,Alface Crespa - 1 Unidade,ALFACE CRESPA MAÇO,3.99,OK,,Indisponível,4.49,OK,4.29,OK
Alface Crespa Hidropônica,Alface Crespa Benverde Hidropônica 1 Unidade,,Alface Crespa Hidropônica Mizuguchi - 1 Unidade,ALFACE CRESPA HIDROPÔNICA TOMITA MAÇO,,Indisponível,,Não encontrado,,Indisponível,5.35,OK
Alface Crespa Roxo,,,,,,Não encontrado,,Não encontrado,,Não encontrado,,Não encontrado
Alface Lisa,Alface Lisa Benverde Un,Alface Lisa,Alface Lisa - 1 Unidade,ALFACE LISA MAÇO,3.99,OK,,Indisponível,4.49,OK,4.49,OK
Alface Lisa Hidropônica,Alface Lisa Benverde Hidroponica Un,Alface Lisa Hidropônica,Alface Lisa Hidropônica - 1 Unidade,,,Indisponível,5.49,OK,,Indisponível,,Não encontrado
Alface Lisa Higienizado,,,,,,Não encontrado,,Não encontrado,,Não encontrado,,Não encontrado
Alface Mimosa Hidropônica,Alface Mimosa Benverde Hidroponica Un,,Alface Mimosa Hidropônica Mizuguchi - 1 Unidade,,,Indisponível,,Não encontrado,,Indisponível,,Não encontrado
Brocolis,Brocolis Ninja Benverde 280g,,Brócolis Ninja - 1 Unidade,BRÓCOLIS NINJA 300G UNIDADE,5.99,OK,,Não encontrado,,Indisponível,11.99,OK
Couve,Couve Manteiga Benverde 1 Unidade,Couve Manteiga,Couve Manteiga - 1 Unidade,COUVE MANTEIGA MAÇO,4.49,OK,3.99,OK,3.99,OK,4.25,OK
Couve Flor,,Couve Flor Un Hortella,,COUVE FLOR ORGANICO 350G RIO DE UNA,,Não encontrado,11.80,OK,,Não encontrado,12.95,OK
Couve Higienizado,Couve Manteiga Higienizado Benverde 200g,,Couve Flor Higienizado - 300g,,,Indisponível,,Não encontrado,,Indisponível,,Não encontrado
Repolho Roxa,,,,,,Não encontrado,,Não encontrado,,Não encontrado,,Não encontrado
Repolho Verde,,Repolho Verde Kg,,,,Não encontrado,4.59,OK,,Não encontrado,,Não encontrado
Abobrinha Italiana,Abobrinha Italiana Benverde Bdj 600g ,,Abobrinha Italiana - 1 Unidade,ABOBRINHA ITALIANA KG,,Indisponível,,Não encontrado,5.00,OK,11.99,OK
Batata Doce Rosada,,Batata Doce Rosada 500g,Batata Doce Rosada - 900g (aprox. 1 Unidade),BATATA CHIPS BRASIL FRUTT ROSADA DOCE 100G,,Não encontrado,6.96,OK,6.99,OK,13.90,OK
Batata Lavada,Batata Lavada 500g (aproximadamente 2 Unidades),Batata Lavada 500g,Batata Lavada - 1 Unidade,BATATA LAVADA KG,5.00,OK,3.98,OK,5.00,OK,4.49,OK
Beringela,,,,,,Não encontrado,,Não encontrado,,Não encontrado,,Não encontrado
Beterraba,Beterraba Benverde Bdj 500g,Beterraba 700g,Beterraba - 1 Unidade,BETERRABA KG,,Indisponível,6.89,OK,6.50,OK,8.39,OK
Cebola,,Cebola 1kg,Cebola - 1 Unidade,CEBOLA NACIONAL KG,,Não encontrado,3.25,OK,2.47,OK,2.89,OK
Cenoura,Cenoura Benverde Bdj 500g,Cenoura 500g,Cenoura - 1 Unidade,CENOURA KG,,Indisponível,4.36,OK,5.00,OK,5.69,OK
Chuchu,Chuchu 600g (aproximadamente 2 Unidades),Chuchu 750g,Chuchu - 1 Unidade,CHUCHU KG,8.98,OK,5.89,OK,4.00,OK,7.99,OK
Mandioca,Mandioca 700g,Mandioca 1kg,Mandioca com Casca - 1 Unidade,MANDIOCA 500G VAPZA,3.99,OK,3.98,OK,4.00,OK,18.49,OK
Pepino Comum,Pepino Comum 600g (aproximadamente 2 Unidades),Pepino Comum 500g,Pepino Comum - 1 Unidade,,5.48,OK,4.96,OK,5.50,OK,,Não encontrado
Pepino Japones,Pepino Japonês Benverde Bdj 500g,Pepino Japones 500g,Pepino Japonês - 1 Unidade,PEPINO JAPONÊS KG,,Indisponível,6.98,OK,5.00,OK,8.75,OK
Pimentao Amarelo,Pimentão Amarelo 250g ,Pimentão Amarelo 500g,Pimentão Amarelo - 1 Unidade,PIMENTÃO AMARELO KG,21.88,OK,19.90,OK,21.89,OK,12.99,OK
Pimentao Verde,,Pimentão Verde 500g,Pimentão Verde - 1 Unidade,PIMENTÃO VERDE KG,,Não encontrado,10.90,OK,7.00,OK,10.99,OK
Pimentao Vermelho,Pimentão Vermelho 250g,Pimentão Vermelho 500g,,PIMENTÃO VERMELHO KG,22.88,OK,19.90,OK,,Não encontrado,12.99,OK
Tomate,Tomate 200g ,Tomate Salada 500g,Tomate Longa Vida - 1 Unidade,,7.00,OK,7.98,OK,6.00,OK,,Não encontrado
Tomate Italiano,,,Tomate Italiano - 1 Unidade,TOMATE ITALIANO KG,,Não encontrado,,Não encontrado,6.00,OK,4.99,OK
Banana Nanica,Banana Nanica 1kg (aproximadamente 6 Unidades),Banana Nanica 500g,"Banana Nanica - 1,4Kg (Aprox. 6 Unidades)",BANANA NANICA KG,6.98,OK,6.98,OK,3.99,OK,6.98,OK
Banana Prata,,Banana Prata 500g,"Banana Prata - 1,1kg - Aprox. 8 Unidades",BANANA PRATA KG,,Não encontrado,10.90,OK,8.99,OK,8.95,OK
Banana Terra,"Banana Terra 1,1kg (aproximadamente 4 Unidades)",Banana Da Terra Kg,,BANANA TERRA KG,,Indisponível,14.80,OK,,Não encontrado,11.99,OK
Goiaba,Goiaba Vermelha 600g ,Goiaba Vermelha 500g,Goiaba Vermelha - 1 Unidade,GOIABA VERMELHA KG,8.98,OK,6.98,OK,7.00,OK,4.89,OK
Laranja Pera,,Laranja Pera 1kg,Laranja Pera - 1 Unidade,LARANJA PERA KG,,Não encontrado,3.99,OK,3.00,OK,4.99,OK
Limao,Limão 300g (aproximadamente 3 Unidades),Limão 500g,Limao Tahiti - 1 Unidade,LIMÃO TAITI KG,4.97,OK,3.00,OK,3.00,OK,4.99,OK
Maça Argentina,Maca Argentina 600g (aproximadamente 3 Unidades),Maça Argentina Red 600g,,,17.90,OK,18.90,OK,,Não encontrado,,Não encontrado
Maça Fuji,Maca Fuji 500g (aproximadamente 3 Unidades),,Maçã Fuji - 1 Unidade,MAÇÃ FUJI KG,17.00,OK,,Não encontrado,16.00,OK,16.99,OK
Maça Gala,Maçã Gala Nacional 500g (aproximadamente 3 Unidades),Maça Gala 1kg,Maçã Gala - 1 Unidade,MAÇÃ GALA ESPECIAL KG,14.90,OK,11.90,OK,11.00,OK,14.99,OK
Maça Gransmith,,Maça Gransmith 500g,Maça Gransmith - 1 Unidade,,,Não encontrado,18.90,OK,16.00,OK,,Não encontrado
Mamao Papaya,,Mamão Papaya 1kg,Mamão Papaya - 1 Unidade,MAMÃO PAPAYA KG,,Não encontrado,9.90,OK,11.98,OK,16.99,OK
