Produto Buscado,Produto Encontrado (Semar),Produto Encontrado (Rossi),Produto Encontrado (Shibata),Produto Encontrado (Alabarce),Preço (Semar),Status (Semar),Preço (Rossi),Status (Rossi),Preço (Shibata),Status (Shibata),Preço (Alabarce),Status (Alabarce)
Abacate,Abacate 700g (aproximadamente 1 Unidade),Abacate 600g,,ABACATE KG,3.99,OK,2.38,OK,,,2.69,OK
Alface Americana,Alface Americana Benverde 1 Unidade,Alface Americana Band Un,,ALFACE AMERICANA MAÇO,4.89,OK,7.49,OK,,,5.19,OK
Alface Crespa,Alface Crespa Benverde 1 Unidade,Alface Crespa Un,,ALFACE CRESPA MAÇO,3.99,OK,2.49,OK,,,4.29,OK
Alface Crespa Hidropônica,Alface Crespa Benverde Hidropônica 1 Unidade,,,ALFACE CRESPA HIDROPÔNICA TOMITA MAÇO,3.99,OK,,Não encontrado,,,5.35,OK
Alface Crespa Roxo,,,,,,Não encontrado,,Não encontrado,,,,Não encontrado
Alface Lisa,,Alface Lisa,,ALFACE LISA MAÇO,,Não encontrado,5.49,OK,,,4.49,OK
Alface Lisa Hidropônica,Alface Lisa Benverde Hidroponica Un,Alface Lisa Hidropônica,,,4.89,OK,5.49,OK,,,,Não encontrado
Alface Lisa Higienizado,,,,,,Não encontrado,,Não encontrado,,,,Não encontrado
Alface Mimosa Hidropônica,Alface Mimosa Benverde Hidroponica Un,,,,3.99,OK,,Não encontrado,,,,Não encontrado
Brocolis,Brocolis Ninja Benverde 280g,Brócolis Comum,,BRÓCOLIS NINJA 300G UNIDADE,5.99,OK,9.90,OK,,,11.99,OK
Couve,Couve Flor Benverde 280g,Couve Manteiga,,COUVE MANTEIGA MAÇO,8.99,OK,3.99,OK,,,4.25,OK
Couve Flor,,Couve Flor Un Hortella,,COUVE FLOR ORGANICO 350G RIO DE UNA,,Não encontrado,11.80,OK,,,12.95,OK
Couve Higienizado,Couve Manteiga Higienizado Benverde 200g,,,,6.99,OK,,Não encontrado,,,,Não encontrado
Repolho Roxa,,,,,,Não encontrado,,Não encontrado,,,,Não encontrado
Repolho Verde,Repolho Verde Benverde Higienizado Fatiado 300g,Repolho Verde Kg,,,6.99,OK,4.59,OK,,,,Não encontrado
Abobrinha Italiana,Abobrinha Italiana Benverde Bdj 600g ,,,ABOBRINHA ITALIANA KG,3.99,OK,,Não encontrado,,,11.99,OK
Batata Doce Rosada,Batata Doce Rosada 800g (aproximadamente 2 Unidades),Batata Doce Rosada 500g,,BATATA CHIPS BRASIL FRUTT ROSADA DOCE 100G,6.97,OK,7.48,OK,,,13.90,OK
Batata Lavada,Batata Lavada 500g (aproximadamente 2 Unidades),Batata Lavada 500g,,BATATA LAVADA KG,3.98,OK,2.90,OK,,,3.49,OK
Beringela,,,,,,Não encontrado,,Não encontrado,,,,Não encontrado
Beterraba,Beterraba Benverde Bdj 500g,Beterraba 700g,,BETERRABA KG,3.99,OK,6.79,OK,,,8.39,OK
Cebola,Cebola Roxa Bdj Kg (aprox 500g),Cebola 1kg,,CEBOLA NACIONAL KG,7.59,OK,3.15,OK,,,2.89,OK
Cenoura,Cenoura Benverde Bdj 500g,Cenoura 500g,,CENOURA KG,3.99,OK,5.98,OK,,,6.99,OK
Chuchu,Chuchu 600g (aproximadamente 2 Unidades),Chuchu 750g,,CHUCHU KG,2.98,OK,2.99,OK,,,2.98,OK
Mandioca,Mandioca 700g,Mandioca 1kg,,MANDIOCA 500G VAPZA,2.99,OK,2.29,OK,,,18.49,OK
Pepino Comum,Pepino Comum 600g (aproximadamente 2 Unidades),Pepino Comum 500g,,,5.48,OK,5.98,OK,,,,Não encontrado
Pepino Japones,Pepino Japonês Benverde Bdj 500g,Pepino Japones 500g,,PEPINO JAPONÊS KG,3.99,OK,6.98,OK,,,9.99,OK
Pimentao Amarelo,Pimentão Amarelo 250g ,Pimentão Amarelo 500g,,PIMENTÃO AMARELO KG,17.92,OK,14.80,OK,,,21.90,OK
Pimentao Verde,,Pimentão Verde 500g,,PIMENTÃO VERDE KG,,Não encontrado,11.80,OK,,,10.99,OK
Pimentao Vermelho,Pimentão Vermelho 250g,Pimentão Vermelho 500g,,PIMENTÃO VERMELHO KG,17.92,OK,14.80,OK,,,21.90,OK
Tomate,Tomate 200g ,Tomate Salada 500g,,,5.95,OK,7.98,OK,,,,Não encontrado
Tomate Italiano,,Tomate Italiano 500g,,TOMATE ITALIANO KG,,Não encontrado,9.00,OK,,,11.99,OK
