Produto Buscado,Produto Encontrado (Semar),Produto Encontrado (Rossi),Produto Encontrado (Shibata),Produto Encontrado (Alabarce),Preço (Semar),Status (Semar),Preço (Rossi),Status (Rossi),Preço (Shibata),Status (Shibata),Preço (Alabarce),Status (Alabarce)
Banana Nanica,Banana Nanica 1kg (aproximadamente 6 Unidades),Banana Nanica 500g,,BANANA NANICA KG,3.79,OK,3.98,OK,,,6.98,OK
Banana Prata,,Banana Prata 500g,,BANANA PRATA KG,,Não encontrado,10.90,OK,,,8.95,OK
Banana Terra,"Banana Terra 1,1kg (aproximadamente 4 Unidades)",Banana Da Terra Kg,,BANANA TERRA KG,12.79,OK,14.80,OK,,,11.99,OK
Goiaba,Goiaba Vermelha 600g ,Goiaba Vermelha 500g,,GOIABA VERMELHA KG,4.98,OK,3.98,OK,,,8.99,OK
Laranja Pera,,Laranja Pera 1kg,,LARANJA PERA KG,,Não encontrado,3.48,OK,,,2.98,OK
Limao,Limão 300g (aproximadamente 3 Unidades),Limão 500g,,LIMÃO TAITI KG,2.97,OK,3.70,OK,,,2.69,OK
Maça Argentina,Maca Argentina 600g (aproximadamente 3 Unidades),Maça Argentina Red 600g,,,17.90,OK,18.90,OK,,,,Não encontrado
Maça Fuji,Maca Fuji 500g (aproximadamente 3 Unidades),,,MAÇÃ FUJI KG,17.00,OK,,Não encontrado,,,16.99,OK
Maça Gala,Maçã Gala Nacional 500g (aproximadamente 3 Unidades),Maça Gala 1kg,,MAÇÃ GALA ESPECIAL KG,8.98,OK,8.98,OK,,,7.99,OK
Maça Gransmith,,Maça Gransmith 500g,,,,Não encontrado,18.90,OK,,,,Não encontrado
Mamao Papaya,,Mamão Papaya 1kg,,MAMÃO PAPAYA KG,,Não encontrado,11.80,OK,,,15.99,OK
Mamao Formosa,,"Mamão Formosa 1,8kg",,MAMÃO FORMOSA KG,,Não encontrado,6.98,OK,,,9.99,OK
Manga Palmer,Manga Palmer 800g (aproximadamente 2 Unidades),Manga Palmer 1kg,,MANGA PALMER KG,3.98,OK,3.98,OK,,,6.99,OK
Manga Tommy,,Manga Tommy 1kg,,MANGA TOMMY KG,,Não encontrado,6.59,OK,,,4.99,OK
Maracujá Azedo,Maracujá Azedo 600g (aproximadamente 2 Unidades),Maracujá Azedo 1kg,,MARACUJÁ AZEDO KG,14.98,OK,14.80,OK,,,18.99,OK
Melao Amarelo,Melão Amarelo 2.5kg,"Melão Amarelo 2,3kg",,MELÃO AMARELO KG,4.98,OK,3.48,OK,,,3.99,OK
Pera Willians,Pera Willians 400g (aproximadamente 2 Unidades),Pera Willians 500g,,,11.00,OK,9.96,OK,,,,Não encontrado
,,,,,,,,,,,,
Busca gerada em: 04/03/2026,,,,,,,,,,,,
